taxonNo,flora,family,taxon,mainsubject,subject,subpart,category,value,mod,posit,phase,presence,start,end
666,,testfam,Test run,plant,plant,,subject,plant,,,,,5,96
666,,testfam,Test run,plant,plant,,life-form,shrub,Much-branched,,,,10,46
666,,testfam,Test run,plant,plant,,life-form,tree,small,,,,10,46
666,,testfam,Test run,plant,plant,,reproduction,dioecious,,,,,47,85
666,,testfam,Test run,plant,plant,,reproduction,monoecious,,,,,47,85
666,,testfam,Test run,plant,plant,,reproduction,monoecious,commonly; less,,,,47,85
666,,testfam,Test run,plant,plant,,dimension,"('1–9', 'm', 'tall')",,,,,86,96
666,,testfam,Test run,plant,bark,,subject,bark,,,,,98,164
666,,testfam,Test run,plant,bark,,coloration,grey,,,,,103,108
666,,testfam,Test run,plant,bark,,relief,fairly smooth (fide Greenway) TO rough,,,,,109,164
666,,testfam,Test run,plant,branchlet,,subject,branchlet,,,,,166,273
666,,testfam,Test run,plant,branchlet,,,south,subglabrous (apart from the glands) to tomentellous or occasionally densely pilose further,,,,177,273
666,,testfam,Test run,leaves,leaves,,subject,leaves,,,,,275,289
666,,testfam,Test run,leaves,leaves,,odor,scented,,,,,282,289
666,,testfam,Test run,leaves,blade,,subject,blade,,,,,291,911
666,,testfam,Test run,leaves,blade,,shape,linear-oblanceolate TO oblanceolate or ± oblong-elliptic,,,,,298,355
666,,testfam,Test run,leaves,blade,,shape,linear-oblanceolate TO oblanceolate,,,,,298,355
666,,testfam,Test run,leaves,blade,,shape,elliptic,,,,,298,355
666,,testfam,Test run,leaves,blade,,dimension,"('7–12', 'cm', 'long')",up_to,,,,356,375
666,,testfam,Test run,leaves,blade,,dimension,"('1–3', 'cm', 'wide')",,,,,376,424
666,,testfam,Test run,leaves,blade,,shape,pointed,bluntly,at the apex,,,434,462
666,,testfam,Test run,leaves,blade,,shape,attenuate,long,at the base,,,463,490
666,,testfam,Test run,leaves,blade,margin,orientation,incurved,somewhat,between the teeth,often becoming,Present,575,658
666,,testfam,Test run,leaves,blade,margin,shape,crenate,slightly,between the teeth,often becoming,Present,575,658
666,,testfam,Test run,leaves,blade,margin,shape,crenate,slightly,between the teeth,,Present,575,658
666,,testfam,Test run,leaves,blade,,shape,crenate,slightly,between the teeth,,,575,658
666,,testfam,Test run,leaves,blade,margin,orientation,incurved,somewhat,,often becoming,Present,575,658
666,,testfam,Test run,leaves,blade,,pubescence,pubescent,,towards the base; on the midrib,,,694,742
666,,testfam,Test run,leaves,blade,,pubescence,pubescent,,on the midrib towards the base,,,694,742
666,,testfam,Test run,leaves,blade,,prep,covered_with; golden- yellow glands,,on both surfaces,,,824,876
